chembl_id,pref_name,synonyms
CHEMBL4792,Orexin receptor 2,Orexin receptor type 2
CHEMBL2670,P2X purinoceptor 6,P2X purinoceptor 6
CHEMBL4430,Cytochrome P450 17A1,"Steroid 17-alpha-hydroxylase/17,20 lyase"
CHEMBL2671,DNA topoisomerase II,DNA topoisomerase 2
CHEMBL4505,Inositol-1(or 4)-monophosphatase 1,Inositol monophosphatase 1
CHEMBL2862,Rho/Rac guanine nucleotide exchange factor,"FYVE, RhoGEF and PH domain-containing protein 1"
CHEMBL4674,MAP kinase p38 gamma,Mitogen-activated protein kinase 12
CHEMBL4034,Phospholipase C-beta-1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1"
CHEMBL2684,Voltage-gated potassium channel subunit Kv7.3,Potassium voltage-gated channel subfamily KQT member 3
CHEMBL4437,PI3-kinase p85-beta subunit,Phosphatidylinositol 3-kinase regulatory subunit beta
CHEMBL3581,Corticotropin releasing factor receptor 2,Corticotropin-releasing factor receptor 2
CHEMBL4675,Tripeptidyl aminopeptidase,Tripeptidyl-peptidase 2
CHEMBL4438,Serine/threonine protein phosphatase PP1-gamma catalytic subunit,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
CHEMBL332,Matrix metalloproteinase-1,Interstitial collagenase
CHEMBL333,Matrix metalloproteinase-2,72 kDa type IV collagenase
CHEMBL4439,TGF-beta receptor type I,TGF-beta receptor type-1
CHEMBL2319,Kallikrein 1,Kallikrein-1
CHEMBL2539,Deoxyhypusine synthase,Deoxyhypusine synthase
CHEMBL2685,Collagen alpha 2 chain,Collagen alpha-2(I) chain
CHEMBL3359,Formyl peptide receptor 1,fMet-Leu-Phe receptor
CHEMBL4319,UDP-N-acetylmuramoylalanine-D-glutamyl-lysine-D-alanyl-D-alanine ligase,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
CHEMBL4888,Dihydrofolate reductase,Dihydrofolate reductase
CHEMBL3206,Adenosine deaminase,Adenosine deaminase
CHEMBL3207,Somatostatin receptor 2,Somatostatin receptor type 2
CHEMBL3718,Uridine phosphorylase 1,Uridine phosphorylase 1
CHEMBL3208,Cellular retinoic acid-binding protein I,Cellular retinoic acid-binding protein 1
CHEMBL4491,Glutathione S-transferase kappa 1,Glutathione S-transferase kappa 1
CHEMBL2780,Cyclophilin A,Peptidyl-prolyl cis-trans isomerase A
CHEMBL2977,Cyclooxygenase-2,Prostaglandin G/H synthase 2
CHEMBL3800,Human immunodeficiency virus 1 nucleocapsid,p25/p24/p7
CHEMBL3774,Phosphodiesterase 1A,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A"
CHEMBL2789,Estradiol 17-beta-dehydrogenase 2,17-beta-hydroxysteroid dehydrogenase type 2
CHEMBL3730,Dihydropteridine reductase,Dihydropteridine reductase
CHEMBL3623,Quinone reductase 1),NAD(P)H dehydrogenase [quinone] 1
CHEMBL4428,Prostaglandin I2 synthase,Prostacyclin synthase
CHEMBL335,Protein-tyrosine phosphatase 1B,Tyrosine-protein phosphatase non-receptor type 1
CHEMBL3561,GABA receptor rho-1 subunit,Gamma-aminobutyric acid receptor subunit rho-1
CHEMBL3508,Cholecystokinin B receptor,Gastrin/cholecystokinin type B receptor
CHEMBL3144,Glucocorticoid receptor,Glucocorticoid receptor
CHEMBL2277,AICAR transformylase,Bifunctional purine biosynthesis protein ATIC
CHEMBL2278,Beta-glucocerebrosidase,Lysosomal acid glucosylceramidase
CHEMBL2732,DNA polymerase gamma subunit 1,DNA polymerase subunit gamma-1
CHEMBL4054,GABA transporter 1,Sodium- and chloride-dependent GABA transporter 1
CHEMBL338,Dopamine transporter,Sodium-dependent dopamine transporter
CHEMBL2279,Melanocortin receptor 2,Adrenocorticotropic hormone receptor
CHEMBL4287,Atrial natriuretic factor,Natriuretic peptides A
CHEMBL5101,Arylamine N-acetyltransferase 1,Arylamine N-acetyltransferase 1
CHEMBL3057,Cytochrome P450 2D3,Cytochrome P450 2D3
CHEMBL3811,Estrogen sulfotransferase,Sulfotransferase
CHEMBL339,Dopamine D2 receptor,D(2) dopamine receptor
CHEMBL4011,Human immunodeficiency virus type 1 Tat protein,Protein Tat
CHEMBL3852,Human immunodeficiency virus type 1 REV,Protein Rev
CHEMBL3520,Envelope polyprotein GP160,Envelope glycoprotein gp160
CHEMBL3853,Dihydrofolate reductase,Dihydrofolate reductase
CHEMBL3854,Glutamate racemase,Glutamate racemase
CHEMBL4012,Dihydrofolate reductase,Dihydrofolate reductase
CHEMBL4008,Human herpesvirus 3 deoxypyrimidine kinase,Thymidine kinase
CHEMBL4009,Human herpesvirus 6 DNA polymerase,DNA polymerase catalytic subunit
CHEMBL4010,Human herpesvirus 6 protease,Capsid scaffolding protein
CHEMBL4013,Human herpesvirus 4 protease/capsid scaffold protein,Capsid scaffolding protein
CHEMBL3518,Human herpesvirus 1 protease,Capsid scaffolding protein
CHEMBL2601,Adenosine transporter 1,Adenosine transporter 1
CHEMBL3953,Androgen Receptor,Androgen receptor
CHEMBL3445,Glucose-6-phosphate dehydrogenase,Glucose-6-phosphate dehydrogenase
CHEMBL3446,Serotonin 2a (5-HT2a) receptor,5-hydroxytryptamine receptor 2A
CHEMBL5016,Phospholipase A2 group 1B,Phospholipase A2
CHEMBL3448,"Mannosidase 2, alpha B1",Alpha-mannosidase
CHEMBL3449,Corticosteroid binding globulin,Corticosteroid-binding globulin
CHEMBL2603,Adenosine A3 receptor,Adenosine receptor A3
CHEMBL3451,Glutamate (NMDA) receptor subunit zeta 1,N-methyl-D-aspartate receptor
CHEMBL3971,Glycerol-3-phosphate dehydrogenase,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic"
CHEMBL2604,Isoleucyl-tRNA synthetase,Isoleucyl tRNA synthetase
CHEMBL4078,Acetylcholinesterase,Acetylcholinesterase
CHEMBL2860,Cyclooxygenase-1,Prostaglandin G/H synthase 1
CHEMBL2861,C5a anaphylatoxin chemotactic receptor,C5a anaphylatoxin chemotactic receptor 1
CHEMBL4111,Bradykinin B2 receptor,B2 bradykinin receptor
CHEMBL4112,"Retina-specific amine oxidase, copper containing",Retina-specific copper amine oxidase
CHEMBL4113,Ecdysone receptor,Ecdysone receptor
CHEMBL3332,ADAM17,Disintegrin and metalloproteinase domain-containing protein 17
CHEMBL3333,Phosphodiesterase 4A,"3',5'-cyclic-AMP phosphodiesterase"
CHEMBL3334,Cyclooxygenase-1,Prostaglandin G/H synthase 1
CHEMBL3335,Cytochrome P450 2B1,Cytochrome P450 2B1
CHEMBL3444,Malate dehydrogenase mitochondrial,"Malate dehydrogenase, mitochondrial"
CHEMBL3655,Tyrosine-protein kinase SRC,Proto-oncogene tyrosine-protein kinase Src
CHEMBL3656,Coagulation factor X,Coagulation factor X
CHEMBL3063,Beta-chymotrypsin,Chymotrypsinogen B
CHEMBL3657,Isoleucyl-tRNA synthetase,Isoleucine--tRNA ligase
CHEMBL3658,Tubulin alpha chain,Tubulin alpha-1A chain
CHEMBL3810,Fibronectin,Fibronectin
CHEMBL3100,Plasma retinol-binding protein,Retinol-binding protein 4
CHEMBL2983,Simian sarcoma virus Pol protein,Gag-Pol polyprotein
CHEMBL340,Cytochrome P450 3A4,Cytochrome P450 3A4
CHEMBL2949,Cyclooxygenase-1,Prostaglandin G/H synthase 1
CHEMBL3999,Cell division protein ftsZ,Cell division protein FtsZ
CHEMBL3456,Progesterone receptor,Progesterone receptor
CHEMBL2728,Beta-glucuronidase,Beta-glucuronidase
CHEMBL2729,Alkaline phosphatase tissue-nonspecific,"Alkaline phosphatase, tissue-nonspecific isozyme"
CHEMBL3754,Beta-2 adrenergic receptor,Beta-2 adrenergic receptor
CHEMBL3064,Lipoprotein lipase,Lipoprotein lipase
CHEMBL2623,Acyl coenzyme A:cholesterol acyltransferase,Liver carboxylesterase 1
CHEMBL3567,Aldose reductase,Aldo-keto reductase family 1 member B1
CHEMBL2830,Voltage-gated L-type calcium channel alpha-1C subunit,Voltage-dependent L-type calcium channel subunit alpha-1C
CHEMBL3007,Alcohol sulfotransferase,Sulfotransferase 2A1
CHEMBL3081,Aldose reductase,Aldo-keto reductase family 1 member B1
CHEMBL3088,Insulin-like growth factor binding protein 2,Insulin-like growth factor-binding protein 2
CHEMBL3122,Alpha-1b adrenergic receptor,Alpha-1B adrenergic receptor
CHEMBL3027,Neurotensin receptor 1,Neurotensin receptor type 1
CHEMBL341,GABA receptor alpha-2 subunit,Gamma-aminobutyric acid receptor subunit alpha-2
CHEMBL4768,Acetylcholinesterase,Acetylcholinesterase
CHEMBL4022,Thymidine kinase,"Thymidine kinase, cytosolic"
CHEMBL2986,Dopamine transporter,Sodium-dependent dopamine transporter
CHEMBL2987,tRNA-guanine transglycosylase,Queuine tRNA-ribosyltransferase
CHEMBL2804,"Inositol 1,4,5-trisphosphate receptor type 1","Inositol 1,4,5-trisphosphate receptor type 1"
CHEMBL2988,Cholesterol esterase,Bile salt-activated lipase
CHEMBL3942,Neurokinin 1 receptor,Substance-P receptor
CHEMBL3943,Histamine H1 receptor,Histamine H1 receptor
CHEMBL4023,Melanocortin receptor 3,Melanocortin receptor 3
CHEMBL3944,Vasopressin V2 receptor,Vasopressin V2 receptor
CHEMBL3945,Choline acetylase,Choline O-acetyltransferase
CHEMBL3946,Mannose-6-phosphate isomerase,Mannose-6-phosphate isomerase
CHEMBL3947,Adenosine A1 receptor,Adenosine receptor A1
CHEMBL3948,Angiotensin II type 1a (AT-1a) receptor,Type-1 angiotensin II receptor
CHEMBL3949,Endothelin receptor ET-B,Endothelin receptor type B
CHEMBL3952,Kappa opioid receptor,Kappa-type opioid receptor
CHEMBL4143,Calpain 2,Calpain-2 catalytic subunit
CHEMBL2605,Adenosine A2a receptor,Adenosine receptor A2a
CHEMBL5211,Arachidonate 5-lipoxygenase,Polyunsaturated fatty acid 5-lipoxygenase
CHEMBL2805,Retinoid X receptor beta,Retinoic acid receptor RXR-beta
CHEMBL2930,Estrogen receptor alpha,Estrogen receptor
CHEMBL2931,Aldehyde dehydrogenase 1A1,Aldehyde dehydrogenase 1A1
CHEMBL2932,Alpha-glucosidase MAL12,Alpha-glucosidase MAL12
CHEMBL2933,Potassium-transporting ATPase alpha chain 2,Potassium-transporting ATPase alpha chain 2
CHEMBL3611,Type III iodothyronine deiodinase,Thyroxine 5-deiodinase
CHEMBL2934,Microsomal triglyceride transfer protein large subunit,Microsomal triglyceride transfer protein large subunit
CHEMBL2935,Purine nucleoside phosphorylase,Purine nucleoside phosphorylase
CHEMBL3954,Cell division protein zipA,Cell division protein ZipA
CHEMBL4102,Cyclooxygenase-2,Prostaglandin G/H synthase 2
CHEMBL2950,Type 1 InsP3 receptor isoform S2,Type 1 InsP3 receptor isoform S2
CHEMBL4103,Delta opioid receptor,Delta-type opioid receptor
CHEMBL4104,Serotonin 1b (5-HT1b) receptor,5-hydroxytryptamine receptor 1B
CHEMBL4105,Serotonin 1d (5-HT1d) receptor,5-hydroxytryptamine receptor 1D
CHEMBL4106,Cathepsin D,Cathepsin D
CHEMBL3533,Coagulation factor XII,Coagulation factor XII
CHEMBL4108,Voltage-gated L-type calcium channel alpha-1S subunit,Voltage-dependent L-type calcium channel subunit alpha-1S
CHEMBL4109,Glutamate [NMDA] receptor subunit epsilon 3,"Glutamate receptor ionotropic, NMDA 2C"
CHEMBL3612,Calpain 2,Calpain-2 catalytic subunit
CHEMBL3452,Vitamin D receptor,Vitamin D3 receptor
CHEMBL3453,Bradykinin B2 receptor,B2 bradykinin receptor
CHEMBL3499,Beta-lactamase class C,Beta-lactamase
CHEMBL3500,Glycine receptor alpha-4 chain,Glycine receptor subunit alpha-4
CHEMBL3501,Cholecystokinin A receptor,Cholecystokinin receptor type A
CHEMBL2647,Neurokinin 2 receptor,Substance-K receptor
CHEMBL3605,Squalene synthetase,Squalene synthase
CHEMBL3651,Group VII phospholipase A2,1-alkyl-2-acetylglycerophosphocholine esterase
CHEMBL3652,Beta-lactamase TEM,Beta-lactamase
CHEMBL3653,Cytidine deaminase,Activation-induced cytidine deaminase
CHEMBL2648,Vitamin D3 receptor,"1,25-dihydroxyvitamin D-3 receptor"
CHEMBL3626,Histone deacetylase,Histone deacetylase
CHEMBL2669,Serine-threonine protein phosphatase 2A regulatory subunit,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B
CHEMBL3635,Neutral alpha-glucosidase C,Neutral alpha-glucosidase C
CHEMBL2672,Muscarinic acetylcholine receptor M1,Muscarinic receptor M1
CHEMBL3677,Kappa opioid receptor,Kappa-type opioid receptor
CHEMBL3679,Plasmin,Proproteinase E
CHEMBL3680,Inducible nitric oxide synthase,Nitric-oxide synthase (NADPH)
CHEMBL2980,Arachidonate 5-lipoxygenase,5-lipoxygenase
CHEMBL2981,Carnitine palmitoyltransferase 1A,Carnitine palmitoyl transferase I liver isoform
CHEMBL342,Glutamate [NMDA] receptor subunit 3A,"Glutamate receptor ionotropic, NMDA 3A"
CHEMBL2673,ADAMTS5,A disintegrin and metalloproteinase with thrombospondin motifs 5
CHEMBL2982,Adenosine kinase,Adenosine kinase
CHEMBL3111,Ribosomal protein S6 kinase 2,Ribosomal protein S6 kinase beta-2
CHEMBL2937,Matrix metalloproteinase 17,Matrix metalloproteinase-17
CHEMBL3939,Thioesterase GrsT homolog tycF,Putative thioesterase GrsT homolog
CHEMBL4110,Alpha-galactosidase A,Alpha-galactosidase
CHEMBL3801,Beta-2 adrenergic receptor,Beta-2 adrenergic receptor
CHEMBL3642,Suv3 helicase,"ATP-dependent RNA helicase SUPV3L1, mitochondrial"
CHEMBL4263,Acetolactate synthase,"Acetolactate synthase, chloroplastic"
CHEMBL4264,24-sterol C-methyltransferase,Cycloartenol-C-24-methyltransferase
CHEMBL5502,Modulator of drug activity A,Nitroreductase A
CHEMBL4265,CG8425-PA [Drosophila melanogaster],Carboxylic ester hydrolase
CHEMBL4731,Hydroxycarboxylic acid receptor 2,Hydroxycarboxylic acid receptor 2
CHEMBL3646,Secreted effector protein,Protein-tyrosine-phosphatase
CHEMBL4266,Voltage-gated P/Q-type calcium channel alpha-1A subunit,Voltage-dependent P/Q-type calcium channel subunit alpha-1A
CHEMBL4257,Voltage-gated T-type calcium channel alpha-1G subunit,Voltage-dependent T-type calcium channel subunit alpha-1G
CHEMBL4290,Trypsin II,Anionic trypsin-2
CHEMBL5244,UDP-3-O-acyl-GlcNAc deacetylase,UDP-3-O-acyl-N-acetylglucosamine deacetylase
CHEMBL2073,Tyrosine-protein kinase YES,Tyrosine-protein kinase Yes
CHEMBL3640,3-oxoacyl-[acyl-carrier-protein] synthase III,3-oxoacyl-[acyl-carrier-protein] synthase 3
CHEMBL4979,Sodium/glucose cotransporter 1,Sodium/glucose cotransporter 1
CHEMBL5246,Cytochrome P450 11A1,"Cholesterol side-chain cleavage enzyme, mitochondrial"
CHEMBL5276,3-dehydroquinate dehydratase,3-dehydroquinate dehydratase
CHEMBL5277,Atrial natriuretic peptide receptor A,Atrial natriuretic peptide receptor 1
CHEMBL5031,Beta-lactamase,Beta-lactamase
CHEMBL2072,Sodium channel protein type IV alpha subunit,Sodium channel protein type 4 subunit alpha
CHEMBL4687,Plasmepsin 1,Plasmepsin I
CHEMBL4414,Plasmepsin 2,Plasmepsin II
CHEMBL4415,Deoxyhypusine synthase,Deoxyhypusine synthase
CHEMBL4463,Platelet-activating factor acetylhydrolase IB beta subunit,Platelet-activating factor acetylhydrolase IB subunit alpha2
CHEMBL3585,Sodium channel protein type VII alpha subunit,Sodium channel protein type 7 subunit alpha
CHEMBL3586,DNA topoisomerase II alpha,DNA topoisomerase 2-alpha
CHEMBL5107,Voltage-gated N-type calcium channel alpha-1B subunit,Voltage-dependent N-type calcium channel subunit alpha-1B
CHEMBL5108,Platelet-activating factor acetylhydrolase IB gamma subunit,Platelet-activating factor acetylhydrolase IB subunit alpha1
CHEMBL4296,Sodium channel protein type IX alpha subunit,Sodium channel protein type 9 subunit alpha
CHEMBL4351,Beta-1 adrenergic receptor,Beta-1 adrenergic receptor
CHEMBL3641,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
CHEMBL4297,Serotonin 1d (5-HT1d) receptor,5-hydroxytryptamine receptor 1D
CHEMBL5564,DNA topoisomerase II beta,DNA topoisomerase 2-beta
CHEMBL4690,Phenylalanyl-tRNA synthetase alpha chain,Phenylalanine--tRNA ligase alpha subunit
CHEMBL4691,Proteinase activated receptor 4,Proteinase-activated receptor 4
CHEMBL4187,Sodium channel protein type II alpha subunit,Sodium channel protein type 2 subunit alpha
CHEMBL5134,Voltage-gated T-type calcium channel alpha-1H subunit,Voltage-dependent T-type calcium channel subunit alpha-1H
CHEMBL5163,Sodium channel protein type III alpha subunit,Sodium channel protein type 3 subunit alpha
CHEMBL2042,"1,3-beta-glucan synthase","1,3-beta-glucan synthase"
CHEMBL5167,Sodium channel protein type XI alpha subunit,Sodium channel protein type 11 subunit alpha
CHEMBL5202,Sodium channel protein type VIII alpha subunit,Sodium channel protein type 8 subunit alpha
CHEMBL5451,Sodium channel protein type X alpha subunit,Sodium channel protein type 10 subunit alpha
CHEMBL5459,Voltage-gated T-type calcium channel alpha-1I subunit,Voltage-dependent T-type calcium channel subunit alpha-1I
CHEMBL5489,Thymidine kinase 2,Thymidine kinase 2
CHEMBL3558,Gamma-hydroxybutyrate receptor,Gamma-hydroxybutyrate receptor
CHEMBL2565,Penicillin-binding protein 2b,"Cell division protein FtsI [Peptidoglycan synthetase] / Transpeptidase, Penicillin binding protein transpeptidase domain, Penicillin-binding protein 3"
CHEMBL2788,Tubulin beta chain,Tubulin beta chain
CHEMBL2750,Rous sarcoma virus integrase,Gag-Pol polyprotein
CHEMBL3908,"Lignostilbene alpha, beta-dioxygenase",Dioxygenase
CHEMBL3392,Thermolysin,Thermolysin
CHEMBL343,GABA receptor alpha-1 subunit,Gamma-aminobutyric acid receptor subunit alpha-1
CHEMBL2549,Penicillin-binding protein 4,Penicillin-binding protein 4
CHEMBL3380,Pyruvate oxidase,Pyruvate dehydrogenase [ubiquinone]
CHEMBL4786,Geranyltranstransferase,Farnesyl diphosphate synthase
CHEMBL2636,"Inositol 1,4,5-trisphosphate 5-phosphatase","Type II inositol 1,4,5-trisphosphate 5-phosphatase"
CHEMBL3357,Interleukin-1 receptor-associated kinase 1,Interleukin-1 receptor-associated kinase 1
CHEMBL4117,Zinc aminopeptidase,M1 family aminopeptidase
CHEMBL4119,Glutathione reductase,Glutathione reductase
CHEMBL3288,Ryanodine receptor 1,Ryanodine receptor 1
CHEMBL3463,Human immunodeficiency virus type 2 integrase,Integrase
CHEMBL3395,Glutamate receptor ionotropic kainate 2,Glutamate receptor
CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Interleukin-1 receptor-associated kinase 4
CHEMBL3603,Integrin alpha M,Integrin alpha-M
CHEMBL2892,Metabotropic glutamate receptor 1,Metabotropic glutamate receptor 1
CHEMBL3970,IgA protease,IgA-specific serine endopeptidase autotransporter
CHEMBL4709,Type 1 dehydroquinase,3-dehydroquinate dehydratase
CHEMBL2400,Leukotriene A4 hydrolase,Leukotriene A-4 hydrolase
CHEMBL2833,Alanine racemase,"Alanine racemase, biosynthetic"
CHEMBL4885,cAMP-dependent protein kinase alpha-catalytic subunit,cAMP-dependent protein kinase
CHEMBL4651,Prostaglandin D2 synthase,Prostaglandin-H2 D-isomerase
CHEMBL3823,L-lactate dehydrogenase B chain,L-lactate dehydrogenase B chain
CHEMBL3824,Metabotropic glutamate receptor 3,Metabotropic glutamate receptor 3
CHEMBL3825,Penicillin-binding protein 2,Penicillin-binding protein 2
CHEMBL3826,Integrin alpha M,Integrin alpha-M
CHEMBL3110,Arabinose 5-phosphate isomerase,Arabinose 5-phosphate isomerase KdsD
CHEMBL3675,P-hydroxybenzoate hydroxylase,p-hydroxybenzoate hydroxylase
CHEMBL4020,Ryanodine receptor 2,Cardiac ryanodine receptor 2
CHEMBL3353,Glutamate racemase,Glutamate racemase
CHEMBL3354,Glutathionylspermidine synthase,Glutathionylspermidine synthase
CHEMBL3513,Acidic alpha-glucosidase,Lysosomal alpha-glucosidase
CHEMBL2942,"N-acetyllactosaminide alpha-1,3-galactosyltransferase","N-acetyllactosaminide alpha-1,3-galactosyltransferase"
CHEMBL3966,Metabotropic glutamate receptor 7,Metabotropic glutamate receptor 7
CHEMBL5129,Phosphodiesterase 3B,Phosphodiesterase
CHEMBL3097,Acetylcholine receptor protein alpha chain,Acetylcholine receptor subunit alpha
CHEMBL2540,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
CHEMBL3250,Lysophosphatidic acid receptor Edg-7,Lysophosphatidic acid receptor 3
CHEMBL3554,3-dehydroquinate synthase,3-dehydroquinate synthase
CHEMBL3232,Enoyl-CoA hydratase,Peroxisomal bifunctional enzyme
CHEMBL3515,Penicillin-binding protein 1,Cell division protein FtsI (Peptidoglycan synthetase)
CHEMBL3916,Acetylcholine receptor protein delta chain,Acetylcholine receptor subunit delta
CHEMBL4592,"Amine oxidase, copper containing",Membrane primary amine oxidase
CHEMBL3186,Beta tubulin,Beta-tubulin
CHEMBL5127,Poliovirus type 1 polyprotein,Genome polyprotein
CHEMBL5245,Cytidylyltransferase,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
CHEMBL4288,Follicle stimulating hormone receptor,Follicle-stimulating hormone receptor
CHEMBL4289,Interleukin-6 receptor alpha chain,Interleukin-6 receptor subunit alpha
CHEMBL3799,Neurokinin 3 receptor,Neuromedin-K receptor
CHEMBL3798,Calcitonin gene-related peptide type 1 receptor,Calcitonin gene-related peptide type 1 receptor
CHEMBL344,Melanin-concentrating hormone receptor 1,Melanin-concentrating hormone receptor 1
CHEMBL5560,CaM kinase I alpha,Calcium dependent protein kinase
CHEMBL2011,Fatty acid synthase,Enoyl-CoA hydratase 2
CHEMBL2012,Vitamin K-dependent gamma-carboxylase,Vitamin K-dependent gamma-carboxylase
CHEMBL1909,Glucan synthase,"1,3-beta-glucan synthase"
CHEMBL2019,Type I iodothyronine deiodinase (Type-I 5'-deiodinase) (DIOI) (Type 1 DI) (5DI),Type I iodothyronine deiodinase
CHEMBL3925,17-beta-hydroxysteroid-dehydrogenase,17beta-hydroxysteroid dehydrogenase
CHEMBL4723,Endo-b-N-acetylglucosaminidase,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
CHEMBL4724,Bradykinin B1 receptor,B1 bradykinin receptor
CHEMBL3431,Beta-mannosidase,Beta-mannosidase
CHEMBL3432,Angiotensin-converting enzyme,Angiotensin-converting enzyme
CHEMBL4727,"Amine oxidase, copper containing",Membrane primary amine oxidase
CHEMBL3886,Mixed lineage kinase 7,Mitogen-activated protein kinase kinase kinase 20
CHEMBL3924,Dual specificity phosphatase 22,Dual specificity protein phosphatase 22
CHEMBL3926,Carbonic anhydrase,Carbonic anhydrase
CHEMBL4836,Topoisomerase IV subunit A,DNA topoisomerase 4 subunit A
CHEMBL3927,SARS coronavirus 3C-like proteinase,Replicase polyprotein 1a
CHEMBL5280,Alpha-glucosidase,Putative alpha-glucosidase
CHEMBL4722,Serine/threonine-protein kinase Aurora-A,Aurora kinase A
CHEMBL5026,Serine/threonine-protein kinase EEF2K,Eukaryotic elongation factor 2 kinase
CHEMBL4725,Aryl hydrocarbon receptor,Aryl hydrocarbon receptor
CHEMBL4726,Receptor-histidine kinase AgrC,Accessory gene regulator C
CHEMBL4196,Dimethylarginine dimethylaminohydrolase 1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"
CHEMBL4355,Serine/threonine-protein kinase GAK,Cyclin-G-associated kinase
CHEMBL4356,Adrenomedullin receptor,G-protein coupled receptor 182
CHEMBL5061,Glutathione reductase,Glutathione reductase
