"chembl_id","pref_name","synonyms"
"CHEMBL101253","VATALANIB","Ptk-787"
"CHEMBL101253","VATALANIB","PTK787"
"CHEMBL101253","VATALANIB","PTK-787"
"CHEMBL101253","VATALANIB","Vatalanib"
"CHEMBL101253","VATALANIB","ZK-222584"
"CHEMBL101263","4-NITROBENZOIC ACID","4-Nitrobenzoic Acid"
"CHEMBL101263","4-NITROBENZOIC ACID","4-Nitro-Benzoic Acid"
"CHEMBL101284","ENCIPRAZINE","Enciprazine"
"CHEMBL1013","LORACARBEF","Loracarbef"
"CHEMBL1013","LORACARBEF","Loracarbef hydrate"
"CHEMBL1013","LORACARBEF","LY-163892"
"CHEMBL101309","AVASIMIBE","Avasimibe"
"CHEMBL101309","AVASIMIBE","CI-1011"
"CHEMBL101326","FIPRONIL","Fipronil"
"CHEMBL101326","FIPRONIL","MB 46030"
"CHEMBL101326","FIPRONIL","RM 1601"
"CHEMBL1014","CANDESARTAN CILEXETIL","Candesartan"
"CHEMBL1014","CANDESARTAN CILEXETIL","Candesartan 1-(((cyclohexyloxy)carbonyl)oxy)ethyl ester"
"CHEMBL1014","CANDESARTAN CILEXETIL","Candesartan cilexetil"
"CHEMBL1014","CANDESARTAN CILEXETIL","TCV-116"
"CHEMBL1015","EVANS BLUE",NULL
"CHEMBL101506","PINOSYLVIN","Pinosylvin"
"CHEMBL1016","CANDESARTAN","Candesartan"
"CHEMBL1016","CANDESARTAN","Candesartan cilexetil related compound g"
"CHEMBL1016","CANDESARTAN","CV-11974"
"CHEMBL1017","TELMISARTAN","BIBR-277"
"CHEMBL1017","TELMISARTAN","BIBR 277 SE"
"CHEMBL1017","TELMISARTAN","BIBR-277SE"
"CHEMBL1017","TELMISARTAN","BIBR-277 SE"
"CHEMBL1017","TELMISARTAN","BIBR-277-SE"
"CHEMBL1017","TELMISARTAN","C09CA07"
"CHEMBL1017","TELMISARTAN","Telmisartan"
"CHEMBL101740","CIDOXEPIN","Cidoxepin"
"CHEMBL101776","METHYL (METHOXYCARBONYL)OXY(METHYLSULFONYL)CARBAMATE","Methyl (Methoxycarbonyl)Oxy(Methylsulfonyl)Carbamate"
"CHEMBL1018","DIENESTROL","Dienestrol"
"CHEMBL10188","TALNETANT","SB-2234"
"CHEMBL10188","TALNETANT","Sb-223412"
"CHEMBL10188","TALNETANT","SB-223412"
"CHEMBL10188","TALNETANT","Talnetant"
"CHEMBL101892","SANGIVAMYCIN","Sangivamycin"
"CHEMBL1020","TOLMETIN","MCN-2559"
"CHEMBL1020","TOLMETIN","Tolectin"
"CHEMBL1020","TOLMETIN","Tolmetin"
"CHEMBL1021","NEPAFENAC","AHR-9434"
"CHEMBL1021","NEPAFENAC","AL-6515"
"CHEMBL1021","NEPAFENAC","Nepafenac"
"CHEMBL102201","COPALIC ACID","Copalic Acid"
"CHEMBL102276","IMINOCTADIENE","Iminoctadiene"
"CHEMBL102282","Platinum complex",NULL
"CHEMBL1023","BEXAROTENE","Bexarotene"
"CHEMBL1023","BEXAROTENE","LG100069"
"CHEMBL1023","BEXAROTENE","LG-100069"
"CHEMBL1023","BEXAROTENE","LGD1069"
"CHEMBL1023","BEXAROTENE","LGD-1069"
"CHEMBL102358","IDROCILAMIDE","Idrocilamide"
"CHEMBL1024","IFOSFAMIDE","Ifosfamide"
"CHEMBL1024","IFOSFAMIDE","MJF 9325"
"CHEMBL1024","IFOSFAMIDE","MJF-9325"
"CHEMBL1024","IFOSFAMIDE","NSC-109724"
"CHEMBL1024","IFOSFAMIDE","Z4942"
"CHEMBL1024","IFOSFAMIDE","Z-4942"
"CHEMBL102405","FELOPRENTAN","Feloprentan"
"CHEMBL10247","THIORPHAN","Thiorphan"
"CHEMBL1025","ISOFLUROPHATE","Dyflos"
"CHEMBL1025","ISOFLUROPHATE","Fluostigmine"
"CHEMBL1025","ISOFLUROPHATE","Isoflurophate"
"CHEMBL102514","Acridinecarboxamide-Pt(II) complex; Hydrate",NULL
"CHEMBL102583","trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",NULL
"CHEMBL1026","FENOLDOPAM MESYLATE","Fenoldopam mesilate"
"CHEMBL1026","FENOLDOPAM MESYLATE","Fenoldopam mesylate"
"CHEMBL1026","FENOLDOPAM MESYLATE","Fenoldopam methanesulfonate"
"CHEMBL1026","FENOLDOPAM MESYLATE","SK-82526-J"
"CHEMBL1026","FENOLDOPAM MESYLATE","SK&F 82526-J"
"CHEMBL1026","FENOLDOPAM MESYLATE","SK&F-82526J"
"CHEMBL102644","trans-Amminedibromo (cyclohexylamine)-platinium (II)","Trans-Amminedibromo (cyclohexylamine)-platinium(II)"
"CHEMBL1027","TIAGABINE","A-70569-1"
"CHEMBL1027","TIAGABINE","ABBOTT-70569"
"CHEMBL1027","TIAGABINE","ABBOTT-70569-1"
"CHEMBL1027","TIAGABINE","ABBOTT-705691 FREE BASE"
"CHEMBL1027","TIAGABINE","ABBOTT-70569 FREE BASE"
"CHEMBL1027","TIAGABINE","ABT-569"
"CHEMBL1027","TIAGABINE","ABT-569 FREE BASE"
"CHEMBL1027","TIAGABINE","Gabitril"
"CHEMBL1027","TIAGABINE","NNC-05-0328"
"CHEMBL1027","TIAGABINE","NNC-050328 FREE BASE"
"CHEMBL1027","TIAGABINE","NO-05-0328"
"CHEMBL1027","TIAGABINE","NO-050328 FREE BASE"
"CHEMBL1027","TIAGABINE","Tiagabine"
"CHEMBL102714","SB-216763","SB-216763"
"CHEMBL10272","BENZETIMIDE","Benzetimide"
"CHEMBL102740","ARCAINE","1-(4-Guanidinobutyl)Guanidine"
"CHEMBL102740","ARCAINE","Arcaine"
"CHEMBL102817","N-METHYL-MITOMYCIN A",NULL
"CHEMBL10284","SB-222200","SB-222200"
"CHEMBL102856","trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",NULL
"CHEMBL1029","MIGLUSTAT","Miglustat"
"CHEMBL1029","MIGLUSTAT","OGT 918"
"CHEMBL1029","MIGLUSTAT","OGT-918"
"CHEMBL102970","PYRIDOXAL","Pyridoxal"
"CHEMBL103","PROGESTERONE","NSC-64377"
"CHEMBL103","PROGESTERONE","NSC-9704"
"CHEMBL103","PROGESTERONE","Progesterone"
"CHEMBL103","PROGESTERONE","U 3672"
"CHEMBL1030","4'-HYDROXY-DICLOFENAC","4'-Hydroxy-Diclofenac"
"CHEMBL103046","AMPELOPSIN A",NULL
"CHEMBL103049","Trans-Amminedichloro hexylamine platinium (II)","Trans-Amminedichloro hexylamine platinium(II)"
"CHEMBL1031","5-HYDROXY-DICLOFENAC","5-Hydroxy-Diclofenac"
"CHEMBL103104","GW831090X","GW831090X"
"CHEMBL103111","PYRIDOXAL ISONICOTINOYL HYDRAZONE","Pyridoxalisonicotinoyl Hydrazone"
"CHEMBL103111","PYRIDOXAL ISONICOTINOYL HYDRAZONE","Pyridoxal Isonicotinoyl Hydrazone"
"CHEMBL103115","GW831091X","GW831091X"
"CHEMBL103122","trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",NULL
"CHEMBL103124","PARVAQUONE",NULL
"CHEMBL10316","IDAZOXAN","Idazoxan"
"CHEMBL10316","IDAZOXAN","RX-781094"
"CHEMBL1032","4',5-DIHYDROXY-DICLOFENAC","4',5-Dihydroxy-Diclofenac"
"CHEMBL103247","DIAMINOPROPANOIC ACID","D-2,3-Diaminopropionic Acid"
"CHEMBL1033","3'-HYDROXY-4'-METHOXY-DICLOFENAC","3'-Hydroxy-4'-Methoxy-Diclofenac"
"CHEMBL103345","trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",NULL
"CHEMBL103347","trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",NULL
"CHEMBL103356","3-AMINO- 3-DEOXYTHYMIDINE","AMT"
"CHEMBL1034","DICLOFENAC SODIUM","Diclofenac sod"
"CHEMBL1034","DICLOFENAC SODIUM","Diclofenac sodium"
"CHEMBL1034","DICLOFENAC SODIUM","Diclofenac sodium salt"
"CHEMBL1034","DICLOFENAC SODIUM","GP 45840"
"CHEMBL1034","DICLOFENAC SODIUM","GP-45840"
"CHEMBL103460","Platinum complex",NULL
"CHEMBL10347","RAUWOLSCINE","Rauwolscine"
"CHEMBL1035","3'-HYDROXY-DICLOFENAC","3'-Hydroxy-Diclofenac"
"CHEMBL103516","trans-Amminetetrachloro(pyridine)-platinium (IV)","Trans-Amminetetrachloro(pyridine)-platinium(IV)"
"CHEMBL103552","LAVENDUSTIN A",NULL
"CHEMBL103570","trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",NULL
"CHEMBL1036","HYDROXYHALOPERIDOL","Hydroxyhaloperidol"
"CHEMBL103600","DIMETHYLNORDIHYDROGUARIERATE ACID","Dimethylnordihydroguarierate Acid"
"CHEMBL103667","DORAMAPIMOD","Birb-796"
"CHEMBL103667","DORAMAPIMOD","BIRB-796"
"CHEMBL103667","DORAMAPIMOD","BIRB 796 BS"
"CHEMBL103667","DORAMAPIMOD","BIRB-796 BS"
"CHEMBL103667","DORAMAPIMOD","Doramapimod"
"CHEMBL103686","D-ORNITHINE",NULL
"CHEMBL1037","GUANADREL","Guanadrel"
"CHEMBL1037","GUANADREL","Hylorel"
"CHEMBL10372","ZOPOLRESTAT","CP-73,850"
"CHEMBL10372","ZOPOLRESTAT","Zopolrestat"
"CHEMBL103721","trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II)",NULL
"CHEMBL103735","ATIPRIMOD","Atiprimod"
"CHEMBL103735","ATIPRIMOD","SKF-106615"
"CHEMBL103794","NUCLEOSIDE TRIPHOSPHATE ANAOGUE",NULL
"CHEMBL103847","Trans-Amminedichloro(diethylamine)platinium (II)","Trans-Amminedichloro(diethylamine)platinium(II)"
"CHEMBL1039","NORKETAMINE","Norketamine"
"CHEMBL103955","CHAETOMELLIC ACID A","Chaetomellic Acid A"
"CHEMBL104","CLOTRIMAZOLE","BAY 5097"
"CHEMBL104","CLOTRIMAZOLE","BAY-5097"
"CHEMBL104","CLOTRIMAZOLE","Clotrimazole"
"CHEMBL104","CLOTRIMAZOLE","GNF-PF-3499"
"CHEMBL104","CLOTRIMAZOLE","NSC-257473"
"CHEMBL104","CLOTRIMAZOLE","Svt-15652"
"CHEMBL104","CLOTRIMAZOLE","SVT-15652"
"CHEMBL1040","CALCIFEDIOL","Calcifediol"
"CHEMBL104072","Oxotechnetium (V) Complex",NULL
"CHEMBL1041","PHENYLETHYLMALONAMIDE -",NULL
"CHEMBL10413","ZENARESTAT","CI-1014"
"CHEMBL10413","ZENARESTAT","FK-366"
"CHEMBL10413","ZENARESTAT","FR-74366"
"CHEMBL10413","ZENARESTAT","Zenarestat"
"CHEMBL104186","BO-653","Bo-653"
"CHEMBL104186","BO-653","BO-653"
"CHEMBL1042","CHOLECALCIFEROL","7-dehydrocholesterol, activated"
"CHEMBL1042","CHOLECALCIFEROL","AK R215 COMPONENT COLECALCIFEROL"
"CHEMBL1042","CHOLECALCIFEROL","AK-R215 COMPONENT COLECALCIFEROL"
"CHEMBL1042","CHOLECALCIFEROL","Cholecalciferol"
"CHEMBL1042","CHOLECALCIFEROL","Colecalciferol"
"CHEMBL1042","CHOLECALCIFEROL","NSC-375571"
"CHEMBL1042","CHOLECALCIFEROL","Vitamin d"
"CHEMBL1042","CHOLECALCIFEROL","Vitamin d3"
"CHEMBL1042","CHOLECALCIFEROL","Vitamin d assay system suitability"
"CHEMBL104255","FLAVOKAWAIN B",NULL
"CHEMBL104270","TOSUFLOXACIN TOSYLATE",NULL
"CHEMBL1043","DAPSONE","Dapsone"
"CHEMBL1043","DAPSONE","Diaminodiphenylsulfone"
"CHEMBL1043","DAPSONE","Diaphenylsulfone"
"CHEMBL1043","DAPSONE","J04BA02"
"CHEMBL1043","DAPSONE","NSC-6091"
"CHEMBL1043","DAPSONE","NSC-6091D"
"CHEMBL1044","PHENYLACETIC ACID","Buphenyl"
"CHEMBL1044","PHENYLACETIC ACID","Phenylacetate"
"CHEMBL10445","CLOXACEPRIDE","Cloxacepride"
"CHEMBL1045","PHTHALIC ACID","Phthalic acid"
"CHEMBL104515","ANISOPIROL","Anisopirol"
"CHEMBL104515","ANISOPIROL","R 2159"
"CHEMBL104560","CHLORPROPHAM","Chloropropham"
"CHEMBL104560","CHLORPROPHAM","Chlorpropham"
"CHEMBL1046","AMINOCAPROIC ACID","177 JD"
"CHEMBL1046","AMINOCAPROIC ACID","177 J.D"
"CHEMBL1046","AMINOCAPROIC ACID","177 J.D."
"CHEMBL1046","AMINOCAPROIC ACID","177-JD"
"CHEMBL1046","AMINOCAPROIC ACID","Aminocaproic acid"
"CHEMBL1046","AMINOCAPROIC ACID","CL 10304"
"CHEMBL1046","AMINOCAPROIC ACID","CL-10304"
"CHEMBL1046","AMINOCAPROIC ACID","CY-116"
"CHEMBL1046","AMINOCAPROIC ACID","EACA"
"CHEMBL1046","AMINOCAPROIC ACID",".epsilon.-aminocaproic acid"
"CHEMBL1046","AMINOCAPROIC ACID","Epsilon-aminocaproic acid"
"CHEMBL1046","AMINOCAPROIC ACID","NSC-26154"
"CHEMBL1046","AMINOCAPROIC ACID","NSC-400230"
"CHEMBL1047","TOCOPHEROL ACETATE",NULL
"CHEMBL104718","LEPADIN F","Lepadin F"
"CHEMBL1048","N-DEALKYLATED DERIVATIVE","N-Dealkylated Derivative"
"CHEMBL104829","FURO[2,3D]PYRIMIDINE ANTIFOLATE",NULL
"CHEMBL104845","N-DODECYL LYSINE AMIDE",NULL
"CHEMBL104875","D-HISTIDINE","D-His"
"CHEMBL104875","D-HISTIDINE","D-Histamine"
"CHEMBL104875","D-HISTIDINE","D-Histidine"
"CHEMBL104893","AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM","Ammonio(Dichloro)Platinum(Cyclohexyl)Ammonium"
"CHEMBL1049","DECARBOXYLATED DERIVATIVE","Decarboxylated derivative"
"CHEMBL104943","MONOETHANOLAMINE","Monoethanolamine"
"CHEMBL104943","MONOETHANOLAMINE","Monoethanolamine oleate"
"CHEMBL105","MITOMYCIN","Mitomycin"
"CHEMBL105","MITOMYCIN","Mitomycin c"
"CHEMBL105","MITOMYCIN","Mytozytrex"
"CHEMBL105","MITOMYCIN","NSC-26980"
"CHEMBL105","MITOMYCIN","UGN-101"
"CHEMBL105","MITOMYCIN","Ugn-102"
"CHEMBL105","MITOMYCIN","UGN-102"
"CHEMBL1050","LATONOPROST ACID","Latanoprost acid"
"CHEMBL1050","LATONOPROST ACID","Latonoprost acid"
"CHEMBL105060","DNK333","Dnk333"
"CHEMBL1051","LATANOPROST","Latanoprost"
"CHEMBL1051","LATANOPROST","PHXA41"
"CHEMBL1051","LATANOPROST","PHXA-41"
"CHEMBL1051","LATANOPROST","T2345"
"CHEMBL1051","LATANOPROST","T-2345"
"CHEMBL1051","LATANOPROST","XA41"
"CHEMBL1051","LATANOPROST","XA-41"
"CHEMBL105184","BIFENDATE","Bifendate"
"CHEMBL1052","NORMEPERIDINE","Normeperidine"
"CHEMBL105222","trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(quinuclidine)-platinium (IV)",NULL
"CHEMBL105278","GUANIDINOETHYLDISULFIDE","Guanidinoethyldisulfide"
"CHEMBL105278","GUANIDINOETHYLDISULFIDE","Guanidinoethyl Disulfide"
"CHEMBL105310","2',4'-DIHYDROXYCHALCONE","2',4'-Dihydroxychalcone"
"CHEMBL105310","2',4'-DIHYDROXYCHALCONE","(E)-2',4'-Dihydroxychalcone"
"CHEMBL105318","ALOVUDINE","Alovudine"
"CHEMBL105318","ALOVUDINE","CL 184824"
"CHEMBL105318","ALOVUDINE","CL 184,824"
"CHEMBL105318","ALOVUDINE","CL-184824"
"CHEMBL105318","ALOVUDINE","CL-184,824"
"CHEMBL105318","ALOVUDINE","NSC-140025"
"CHEMBL105350","BISDEMETHOXYCURCUMIN","Bisdemethoxy Curcumin"
"CHEMBL105350","BISDEMETHOXYCURCUMIN","Curcumin Lll"
"CHEMBL1054","TRICHLORMETHIAZIDE","Trichlormethiazide"
"CHEMBL105432","GERMACRENE D","Germacrene D"
"CHEMBL105442","CI-1040","Ci 1040"
"CHEMBL105442","CI-1040","Ci-1040"
"CHEMBL105442","CI-1040","CI-1040"
"CHEMBL105442","CI-1040","PD-18435"
"CHEMBL105442","CI-1040","PD-184352"
"CHEMBL105496","4-METHOXY CHALCONE","4-Methoxychalcone"
"CHEMBL1055","CHLORTHALIDONE","Chlortalidone"
"CHEMBL1055","CHLORTHALIDONE","Chlorthalidone"
"CHEMBL1055","CHLORTHALIDONE","G-33182"
"CHEMBL1055","CHLORTHALIDONE","NSC-69200"
"CHEMBL105598","trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(cyclopentylamine)-platinium (IV)",NULL
"CHEMBL1056","4-OH-ENCLOMIPHENE","4-Hydroxyclomifene"
"CHEMBL1056","4-OH-ENCLOMIPHENE","4-oh-enclomiphene"
"CHEMBL105608","HEXAMETHONIUM CHLORIDE","Hexamethonium"
"CHEMBL105608","HEXAMETHONIUM CHLORIDE","Hexamethonium Dichloride"
"CHEMBL105712","PHENACYL CHLORIDE","1-Chloroacetophenone"
"CHEMBL105789","ISOFEBRIFUGINE","Isofebrifugine"
"CHEMBL1058","DESCHLOROBENZOYL INDOMETHACIN","Deschlorobenzoyl indomethacin"
"CHEMBL105809","METALAXYL","Metalaxyl"
"CHEMBL105884","Oxotechnetium (V) Complex",NULL
"CHEMBL1059","PREGABALIN","CI-1008"
"CHEMBL1059","PREGABALIN","PD-144723"
"CHEMBL1059","PREGABALIN","Pregabalin"
"CHEMBL1059","PREGABALIN","YNP-1807"
"CHEMBL105912","RASPBERRYKETONE","Raspberryketone"
"CHEMBL105912","RASPBERRYKETONE","Raspberry Ketone"
"CHEMBL106","FLUCONAZOLE","BAYT006267"
"CHEMBL106","FLUCONAZOLE","BAYT-006267"
"CHEMBL106","FLUCONAZOLE","Diflucan"
"CHEMBL106","FLUCONAZOLE","Fluconazole"
"CHEMBL106","FLUCONAZOLE","UK-49858"
"CHEMBL106","FLUCONAZOLE","UK-49,858"
"CHEMBL1060","SODIUM PHOSPHATE","E-339(II)"
"CHEMBL1060","SODIUM PHOSPHATE","FEMA NO. 2398"
"CHEMBL1060","SODIUM PHOSPHATE","INS-339(II)"
"CHEMBL1060","SODIUM PHOSPHATE","INS NO.339(II)"
"CHEMBL1060","SODIUM PHOSPHATE","Sodium phosphate"
"CHEMBL1060","SODIUM PHOSPHATE","Sodium phosphate dibasic"
"CHEMBL1060","SODIUM PHOSPHATE","Sodium phosphate, dibasic anhydrous"
"CHEMBL1060","SODIUM PHOSPHATE","Sodium phosphate, dibasic, anhydrous"
"CHEMBL1061","GLITAZONE","Glitazone"
"CHEMBL106124","SENKTIDE","Senktide"
"CHEMBL106160","Oxorhenium (V) AADT Complex",NULL
"CHEMBL1062","HYDROXYPROGESTERONE","17.alpha.-hydroxyprogesterone"
"CHEMBL1062","HYDROXYPROGESTERONE","Hydroxyprogesterone"
"CHEMBL1062","HYDROXYPROGESTERONE","NSC-15468"
"CHEMBL1062","HYDROXYPROGESTERONE","U-3096"
"CHEMBL106258","AMINOREX","Aminorex"
"CHEMBL106258","AMINOREX","Aminoxaphen"
"CHEMBL106258","AMINOREX","MCN-742"
"CHEMBL106265","8-CYCLOPENTYLTHEOPHYLLINE",NULL
"CHEMBL106296","CARACASANDIAMIDE",NULL
"CHEMBL1063","DEACETYLCOLCHICINE","Desacetylcolchicine"
"CHEMBL10634","BERMOPROFEN","Bermoprofen"
"CHEMBL106371","Derivative of Acridine (2,2'-Bipyridine) Platinum (II) Complex",NULL
"CHEMBL1064","SIMVASTATIN","C10AA01"
"CHEMBL1064","SIMVASTATIN","MK-0733"
"CHEMBL1064","SIMVASTATIN","MK-733"
"CHEMBL1064","SIMVASTATIN","Simvastatin"
"CHEMBL1064","SIMVASTATIN","Simvastatin hydroxy acid"
"CHEMBL1064","SIMVASTATIN","Synvinolin"
"CHEMBL106425","5-N-ALLYL-ARGININE",NULL
"CHEMBL1065","METHYSERGIDE","Methysergide"
"CHEMBL1065","METHYSERGIDE","Sansert"
"CHEMBL106502","ALAMIFOVIR","Alamifovir"
"CHEMBL106509","DEHYDROZINGERONE","Dehydrozingerone"
"CHEMBL106516","THIOCITRULLINE","Thiocitrulline"
"CHEMBL106562","2-Methoxy-1,4-naphthoquinone","2-Methoxy-[1,4]Naphthoquinone"
"CHEMBL106593","PRALMORELIN","Pralmorelin"
"CHEMBL1066","(R,R)-TRAMADOL","Rel-Tramadol"
"CHEMBL106612","IMIFURAMINE","Imifuramine"
"CHEMBL106666","GW7845","GW7845"
"CHEMBL106687","LYCETAMINE","Lycetamine"
"CHEMBL106687","LYCETAMINE","P-71"
"CHEMBL1067","LICARBAZEPINE","10-hydroxy-carbamazepine"
"CHEMBL1067","LICARBAZEPINE","Licarbazepine"
"CHEMBL1068","OXCARBAZEPINE","GP-47680"
"CHEMBL1068","OXCARBAZEPINE","KIN-493"
"CHEMBL1068","OXCARBAZEPINE","Oxcarbazepine"
"CHEMBL1068","OXCARBAZEPINE","SPN-804"
"CHEMBL106847","AMENTANTRONE",NULL
"CHEMBL1069","VALSARTAN","CGP 48933"
"CHEMBL1069","VALSARTAN","CGP-48933"
"CHEMBL1069","VALSARTAN","Valsartan"
"CHEMBL106939","DASB","Dasb"
"CHEMBL106971","CALDIAMIDE","Caldiamide"
"CHEMBL107","COLCHICINE","Colchicine"
"CHEMBL107","COLCHICINE","NSC-757"
"CHEMBL1070","NABUMETONE","BRL 14777"
"CHEMBL1070","NABUMETONE","BRL-14777"
"CHEMBL1070","NABUMETONE","Nabumetone"
"CHEMBL1071","OXAPROZIN","NSC-310839"
"CHEMBL1071","OXAPROZIN","Oxaprozin"
"CHEMBL1071","OXAPROZIN","WY-21743"
"CHEMBL1071","OXAPROZIN","WY-21,743"
"CHEMBL107131","DIMETHYLPINOCEMBRIN","Dimethylpinocembrin"
"CHEMBL107172","7-METHYL-8-OXO-5-P-TOLYL-7,8-DIHYDRO-[1,7]NAPHTHYRIDINE-6-CARBOXYLIC ACID (3,5-BIS-TRIFLUOROMETHYL-BENZYL)-METHYL-AMIDE (STRUCTURAL MIX)","TAK-622"
"CHEMBL1072","BUMETANIDE","Bumetanide"
"CHEMBL1072","BUMETANIDE","RO 10-6338"
"CHEMBL1072","BUMETANIDE","RO-106338"
"CHEMBL1072","BUMETANIDE","RO-10-6338"
"CHEMBL1072","BUMETANIDE","S-95008."
"CHEMBL1072","BUMETANIDE","S95008."
"CHEMBL107217","DITIOCARB SODIUM","Ditiocarb sodium"
"CHEMBL107251","1400W",NULL
